"x"
"Leiosolenus lischkei"
"Leiosolenus lithurus"
"Leiosolenus malaccanus"
"Leiosolenus mucronatus"
"Leiosolenus nasutus"
"Leiosolenus obesus"
"Leiosolenus paraplumula"
"Leiosolenus parapurpureus"
"Leiosolenus patagonicus"
"Leiosolenus peruvianus"
"Leiosolenus plumula"
"Leiosolenus pulcher"
"Leiosolenus purpureus"
"Leiosolenus simplex"
"Leiosolenus spatiosus"
"Leiosolenus subattenuatus"
"Leiosolenus tripartitus"
"Limnoperna fortunei"
"Limnoperna siamensis"
"Lioberus agglutinans"
"Lioberus castanea"
"Lioberus ligneus"
"Lioberus salvadoricus"
"Lithophaga antillarum"
"Lithophaga caperata"
"Lithophaga cylindrica"
"Lithophaga lithophaga"
"Lithophaga nigra"
"Lithophaga petricoloides"
"Lithophaga punctata"
"Lithophaga robusta"
"Lithophaga teres"
"Lithophaga zitteliana"
"Modiola marmorata"
"Modiolatus flavidus"
"Modiolatus hanleyi"
"Modiolatus neglectus"
"Modiolatus nigeriensis"
"Modiolatus nitidus"
"Modiolatus oyamai"
"Modiolatus pacificus"
"Modiolatus plicatus"
"Modiolatus pulvillus"
"Modiolatus victoriae"
"Modiolula phaseolina"
"Modiolus adriaticus"
"Modiolus albicosta"
"Modiolus americanus"
"Modiolus areolatus"
"Modiolus auriculatus"
"Modiolus aurum"
"Modiolus barbatus"
"Modiolus biradiatus"
"Modiolus bourailensis"
"Modiolus capax"
"Modiolus carpenteri"
"Modiolus carvalhoi"
"Modiolus cecillii"
"Modiolus cimbricus"
"Modiolus clarki"
"Modiolus cochlear"
"Modiolus comptus"
"Modiolus eiseni"
"Modiolus ficoides"
"Modiolus gubernaculum"
"Modiolus kurilensis"
"Modiolus lineus"
"Modiolus lulat"
"Modiolus margaritaceus"
"Modiolus martorelli"
"Modiolus matris"
"Modiolus modiolus"
"Modiolus modulaides"
"Modiolus nicklesi"
"Modiolus nipponicus"
"Modiolus penetectus"
"Modiolus peronianus"
"Modiolus philippinarum"
"Modiolus pittsburgensis"
"Modiolus pseudobarbatus"
"Modiolus rectus"
"Modiolus rufus"
"Modiolus sacculifer"
"Modiolus squamosus"
"Modiolus traillii"
"Modiolus tumescens"
"Modiolus verdensis"
"Musculus alganus"
"Musculus aviarius"
"Musculus calceatus"
"Musculus coenobitus"
"Musculus concinnus"
"Musculus costulatus"
"Musculus cumingianus"
"Musculus cupreus"
"Musculus discors"
"Musculus glacialis"
"Musculus impactus"
"Musculus imus"
"Musculus koreanus"
"Musculus lateralis"
"Musculus minutus"
"Musculus nana"
"Musculus nanulus"
"Musculus niger"
"Musculus nipponicus"
"Musculus panhai"
"Musculus phenax"
"Musculus pusio"
"Musculus pygmaeus"
"Musculus semiradiatus"
"Musculus strigatus"
"Musculus subpictus"
"Musculus taylori"
"Musculus varicosus"
"Musculus viator"
"Mytella brasiliensis"
"Mytella guyanensis"
"Mytella speciosa"
"Mytella strigata"
"Mytella tumbezensis"
"Mytilaster lineatus"
"Mytilaster marioni"
"Mytilaster minimus"
"Mytilaster solidus"
"Mytilaster solisianus"
"Mytilisepta bifurcata"
"Mytilisepta eliae"
"Mytilisepta keenae"
"Mytilisepta virgata"
"Mytilus californianus"
"Mytilus chilensis"
"Mytilus condoni"
"Mytilus edulis"
"Mytilus galloprovincialis"
"Mytilus inezensis"
"Mytilus planulatus"
"Mytilus platensis"
"Mytilus trossulus"
"Mytilus unguiculatus"
"Nypamodiolus japonicus"
"Nypamodiolus longissimus"
"Nypamodiolus samadiae"
"Nypamodiolus simpsoni"
"Parabrachidontes amnicus"
"Parabrachidontes cochinensis"
"Parabrachidontes leucostictus"
"Perna canaliculus"
"Perna magellanica"
"Perna perna"
"Perna viridis"
"Perumytilus purpuratus"
"Rhomboidella canariensis"
"Rhomboidella capensis"
"Rhomboidella malaccana"
"Rhomboidella obesa"
"Rhomboidella perstriata"
"Rhomboidella prideauxi"
"Rhomboidella radians"
"Rhomboidella rhyllensis"
"Rhomboidella rodriguesensis"
"Rhomboidella vaillanti"
"Scolimytilus aequatorialis"
"Semimytilus patagonicus"
"Septifer bilocularis"
"Septifer cumingii"
"Septifer excisus"
"Septifer ramulosus"
"Septifer rudis"
"Septifer rufolineatus"
"Septifer zeteki"
"Sinomytilus harmandi"
"Sinomytilus morrisoni"
"Sinomytilus swinhoei"
"Solamen bulla"
"Solamen columbianum"
"Solamen dollfusi"
"Solamen glandula"
"Solamen leanum"
"Solamen megas"
"Solamen persicum"
"Solamen recens"
"Solamen spectabile"
"Solamen striatissimum"
"Stavelia subdistorta"
"Tamu fisheri"
"Terua arcuatilis"
"Terua pacifica"
"Trichomya hirsuta"
"Urumella concava"
"Vignadula atrata"
"Vignadula kuraburiensis"
"Vignadula mangle"
"Vilasina decorata"
"Vilasina pillula"
"Vilasina seminuda"
"Vilasina sinica"
"Vilasina vernicosa"
"Vulcanidas insolatus"
"Xenostrobus balani"
"Xenostrobus inconstans"
"Xenostrobus neozelanicus"
"Xenostrobus pulex"
"Xenostrobus sambasensis"
"Xenostrobus securis"
"Zelithophaga truncata"
